id,CategoryID,Name,IsActive,JsonLink
280,1,"Кухонные комбайны, машины и планетарные миксеры",1,https://catalog.onliner.by/foodprocessors
281,1,Кухонные мойки,1,https://catalog.onliner.by/kitchensink
282,1,"Кухонные ножи, ножницы, овощечистки, точилки",1,https://catalog.onliner.by/kitchen_knife
283,1,Кухонные плиты,1,https://catalog.onliner.by/cooker
284,1,Кухонные столы и обеденные группы,1,https://catalog.onliner.by/kitchen_table
285,1,Лазерные дальномеры,1,https://catalog.onliner.by/laserdistmeter
286,1,Лазерные нивелиры,1,https://catalog.onliner.by/laserlevel
287,1,"Лаки, пропитки, антисептики",1,https://catalog.onliner.by/lacquer
288,1,Ламинат,1,https://catalog.onliner.by/laminate
289,1,Ламинаторы,1,https://catalog.onliner.by/laminator
290,1,Лампочки,1,https://catalog.onliner.by/lightbulb
291,1,Лампы,1,https://catalog.onliner.by/autolamps
292,1,Ледобуры,1,https://catalog.onliner.by/icescrew
293,1,"Лежанки, домики, когтеточки для кошек и собак",1,https://catalog.onliner.by/pet_house
294,1,Лекарственные травы и сборы,1,https://catalog.onliner.by/medicinal_plants
295,1,Лестницы и стремянки,1,https://catalog.onliner.by/stairandladder
296,1,Летние души,1,https://catalog.onliner.by/summer_shower
297,1,Линолеум,1,https://catalog.onliner.by/linoleum
298,1,Листовой металлопрокат,1,https://catalog.onliner.by/sheetmetal
299,1,Лобзики,1,https://catalog.onliner.by/fretsaw
300,1,"Логические игры, головоломки",1,https://catalog.onliner.by/logic_puzzles
301,1,Лодочные моторы,1,https://catalog.onliner.by/outboardmotors
302,1,Ломтерезки,1,https://catalog.onliner.by/slicer
303,1,Лыжи,1,https://catalog.onliner.by/skis
304,1,Люстры и светильники,1,https://catalog.onliner.by/luster
305,1,Магнитолы,1,https://catalog.onliner.by/caraudio
306,1,"Мангалы, грили, барбекю",1,https://catalog.onliner.by/grill
307,1,Манежи,1,https://catalog.onliner.by/playpen
308,1,Маникюрные и педикюрные наборы,1,https://catalog.onliner.by/manicure
309,1,Маринаторы,1,https://catalog.onliner.by/marinator
310,1,"Мармиты, фондю",1,https://catalog.onliner.by/fondue
311,1,Масла для лодочных моторов,1,https://catalog.onliner.by/twostrokeoil
312,1,Массажеры и массажные кресла,1,https://catalog.onliner.by/massagechair
313,1,Матрасы,1,https://catalog.onliner.by/mattress
314,1,Матричные принтеры,1,https://catalog.onliner.by/matrixprinter
315,1,Машинки для стрижки волос,1,https://catalog.onliner.by/hairclipper
316,1,Машинки для удаления катышков,1,https://catalog.onliner.by/lintshaver
317,1,Мебель для ванных комнат,1,https://catalog.onliner.by/bath_furniture
318,1,Медиаплееры и ТВ-приставки,1,https://catalog.onliner.by/media
319,1,"Медицинские маски, респираторы, защитные очки",1,https://catalog.onliner.by/medicalmask
320,1,Межкомнатные двери,1,https://catalog.onliner.by/interiordoor
321,1,Металлические двери,1,https://catalog.onliner.by/steeldoor
322,1,Металлообрабатывающие станки,1,https://catalog.onliner.by/metalworking
323,1,Метеостанции,1,https://catalog.onliner.by/meteostations
324,1,Микроволновые печи,1,https://catalog.onliner.by/microvawe
325,1,Микрофоны,1,https://catalog.onliner.by/microphones
326,1,Мини-печи,1,https://catalog.onliner.by/roaster
327,1,Мини-тракторы,1,https://catalog.onliner.by/minitractor
328,1,"Миски, дуршлаги, сита",1,https://catalog.onliner.by/bowls
329,1,"Миски, поилки, кормушки для животных",1,https://catalog.onliner.by/animal_plate
330,1,Мойки высокого давления,1,https://catalog.onliner.by/washers
331,1,Молокоотсосы и аксессуары,1,https://catalog.onliner.by/breast_pump
332,1,Мотоблоки и мотокультиваторы,1,https://catalog.onliner.by/motoblock
333,1,Мотопомпы,1,https://catalog.onliner.by/motopump
334,1,Моторные масла,1,https://catalog.onliner.by/motor_oil
335,1,Мотоциклетные аккумуляторы,1,https://catalog.onliner.by/motobatteries
336,1,Мотоциклетные шины,1,https://catalog.onliner.by/moto_tires
337,1,Мотоциклы,1,https://catalog.onliner.by/motorcycle
338,1,Мотошлемы,1,https://catalog.onliner.by/motohelmet
339,1,Мужские электробритвы,1,https://catalog.onliner.by/shaver
340,1,Мультиварки,1,https://catalog.onliner.by/multicooker
341,1,"Мультиметры, токовые клещи, индикаторные отвертки",1,https://catalog.onliner.by/multimeter
342,1,"Мусорки, урны, контейнеры для мусора",1,https://catalog.onliner.by/trashbin
343,1,Мягкие игрушки,1,https://catalog.onliner.by/stuffedtoys
344,1,Мясорубки,1,https://catalog.onliner.by/meatgrinder
345,1,Мячи,1,https://catalog.onliner.by/ball
346,1,Наборы инструментов,1,https://catalog.onliner.by/tool_kits
347,1,Навесное оборудование для садовой техники,1,https://catalog.onliner.by/attachmentgarden
348,1,Надувная мебель,1,https://catalog.onliner.by/airbed
349,1,Надувные лодки,1,https://catalog.onliner.by/inflatableboat
350,1,Наматрасники,1,https://catalog.onliner.by/mattresspad
351,1,Напольные весы,1,https://catalog.onliner.by/scales
352,1,Наручные часы,1,https://catalog.onliner.by/watch
353,1,Насосы,1,https://catalog.onliner.by/pump
354,1,Настольные игры,1,https://catalog.onliner.by/boardgame
355,1,Настольные плиты,1,https://catalog.onliner.by/tabletop_cooker
356,1,Наушники,1,https://catalog.onliner.by/headphones
357,1,"Нитратомеры, дозиметры, экотестеры",1,https://catalog.onliner.by/nitrate
358,1,Обезболивающие препараты,1,https://catalog.onliner.by/painkillers
359,1,Обложки для электронных книг,1,https://catalog.onliner.by/ebookcover
360,1,Обогреватели,1,https://catalog.onliner.by/heater
361,1,Общестроительные материалы,1,https://catalog.onliner.by/buildingmaterial
362,1,Объективы,1,https://catalog.onliner.by/lens
363,1,Оверлоки,1,https://catalog.onliner.by/overlock
364,1,Огнетушители,1,https://catalog.onliner.by/extinguisher
365,1,"Одежда для охоты, рыбалки",1,https://catalog.onliner.by/hunter_clothes
366,1,Окна ПВХ,1,https://catalog.onliner.by/vynilwindows
367,1,Опрыскиватели,1,https://catalog.onliner.by/sprayer
368,1,Органайзеры и системы хранения инструментов,1,https://catalog.onliner.by/toolbox
369,1,Ортопедические подушки,1,https://catalog.onliner.by/pillow
370,1,Основания для кроватей,1,https://catalog.onliner.by/orthobase
371,1,Осушители воздуха,1,https://catalog.onliner.by/dehumidifier
372,1,Отбойные молотки,1,https://catalog.onliner.by/jackhammer
373,1,Отопительные котлы,1,https://catalog.onliner.by/boiler
374,1,"Офисные доски, флипчарты",1,https://catalog.onliner.by/officeboard
375,1,"Офисные кресла, стулья",1,https://catalog.onliner.by/office_chair
376,1,Охлаждающие жидкости,1,https://catalog.onliner.by/antifreeze
377,1,Охлаждающие подставки,1,https://catalog.onliner.by/laptopstand
378,1,Очистители и мойки воздуха,1,https://catalog.onliner.by/airpurifier
379,1,Очки виртуальной реальности,1,https://catalog.onliner.by/virtualreality
380,1,Палатки,1,https://catalog.onliner.by/tents
381,1,Палки для селфи,1,https://catalog.onliner.by/selfiestick
440,1,Радионяни и видеоняни,1,https://catalog.onliner.by/babymonitor
382,1,Палки для скандинавской ходьбы,1,https://catalog.onliner.by/nordic_walking
383,1,Паркетная доска,1,https://catalog.onliner.by/parquetboard
384,1,Парковочные радары и камеры заднего вида,1,https://catalog.onliner.by/parkingradar
385,1,Пароварки,1,https://catalog.onliner.by/steamers
386,1,"Пароварки, мантоварки",1,https://catalog.onliner.by/steamer
387,1,Парфюмерия,1,https://catalog.onliner.by/parfume
388,1,Паяльники и паяльные лампы,1,https://catalog.onliner.by/solderingiron
