id,KindID,Name,SortOrder,IsActive
543,125,Интерфейсы,6404,1
544,125,Тюнер,7500,1
545,125,Питание,7607,1
546,125,Габариты,7600,1
547,127,Общая информация,2218,1
548,127,Основные,1534,1
549,127,Технические характеристики,3392,1
550,127,Размеры и вес,4178,1
551,139,Общая информация,2218,1
552,139,Основные,1534,1
553,139,Особенности конструкции,2750,1
554,139,Комфорт и безопасность,4000,1
555,139,Комплектация,5892,1
556,139,Размеры и вес,4178,1
557,107,"Возможно, вас заинтересует",3583,1
558,107,Общая информация,2218,1
559,107,Основные,1534,1
560,107,Конструкция и габариты,5429,1
561,107,Комплектация,5892,1
562,141,Основные,1534,1
563,141,Свет,2000,1
564,141,Питание,7607,1
565,141,Размеры и вес,4178,1
566,141,Общая информация,2218,1
567,141,Комплектация,5892,1
568,134,Основные,1534,1
569,144,Основные,1534,1
570,144,Общая информация,2218,1
571,144,Функции,5812,1
572,144,Конструкция,3773,1
573,144,Габариты,7600,1
574,162,Основные,1534,1
575,162,Размеры и вес,4178,1
576,162,Общая информация,2218,1
577,175,Общая информация,2218,1
578,175,Основные,1534,1
579,175,Работа со звуком,7750,1
580,175,Интерфейсы,6404,1
581,175,GPS,7000,1
582,175,Питание,7607,1
583,175,Размеры и вес,4178,1
584,175,Экран,5688,1
585,180,Общая информация,2218,1
586,180,Основные,1534,1
587,180,Размеры и вес,4178,1
588,181,Основные,1534,1
589,181,Двигатель,3455,1
590,181,Общая информация,2218,1
591,181,Размеры и вес,4178,1
593,106,Общая информация,2218,1
594,106,Основные,1534,1
595,106,Размеры и вес,4178,1
596,199,Основные,1534,1
597,199,Параметры записи,2500,1
598,199,Параметры воспроизведения,3500,1
599,199,Экран,5688,1
600,199,Аккумулятор и время работы,9526,1
601,199,Общая информация,2218,1
602,199,Комплектация,5892,1
603,199,Габариты и вес,5286,1
604,199,Технические характеристики,3392,1
605,152,Технические характеристики,3392,1
606,152,Декор,2667,1
607,152,Размеры,3667,1
608,152,Общая информация,2218,1
609,135,Основные,1534,1
610,135,Общая информация,2218,1
611,135,Размеры и вес,4178,1
612,164,Основные,1534,1
613,164,Двигатель,3455,1
614,164,Генератор,3000,1
615,164,Габариты и вес,5286,1
616,164,Общая информация,2218,1
617,164,Комплектация,5892,1
618,239,Общая информация,2218,1
619,239,Основные,1534,1
620,239,Технические характеристики,3392,1
621,239,Подключаемые внешние устройства,4000,1
622,239,Интерфейсы,6404,1
623,239,Механизм печати,6000,1
624,239,Размеры и вес,4178,1
625,239,Налоговые группы и дополнительные сборы,8000,1
626,248,Основные,1534,1
627,248,Общая информация,2218,1
628,247,Общая информация,2218,1
629,247,Основные,1534,1
630,247,Свойства,3000,1
631,243,Основные,1534,1
632,243,Двигатель,3455,1
633,243,Общая информация,2218,1
634,243,Конструкция,3773,1
635,243,Колеса,4500,1
636,243,Размеры и вес,4178,1
637,186,Общая информация,2218,1
638,186,Основные,1534,1
639,218,Основные,1534,1
640,262,Основные,1534,1
641,262,Общая информация,2218,1
642,262,Размеры и вес,4178,1
643,279,Основные,1534,1
644,209,Основные,1534,1
645,209,Общая информация,2218,1
646,209,Комплектация,5892,1
647,209,Размеры и вес,4178,1
648,275,Общая информация,2218,1
649,275,Основные,1534,1
650,275,Комплектация,5892,1
651,275,Размеры и вес,4178,1
652,289,Основные,1534,1
653,289,Общая информация,2218,1
654,289,Функциональные особенности,4270,1
655,289,Габариты и вес,5286,1
656,300,Общая информация,2218,1
657,300,Основные,1534,1
658,300,Размеры и вес,4178,1
659,300,Комплектация,5892,1
660,232,Общая информация,2218,1
661,232,Основные,1534,1
662,232,Особенности конструкции,2750,1
663,232,Размеры и вес,4178,1
664,252,Основные,1534,1
665,252,Общая информация,2218,1
666,252,Интерфейсы,6404,1
667,252,Размеры и вес,4178,1
668,252,Функции,5812,1
669,299,Основные,1534,1
670,299,Технические характеристики,3392,1
671,299,Функциональные особенности,4270,1
672,299,Комплектация,5892,1
673,299,Аккумулятор,5556,1
674,130,"Возможно, вас заинтересует",3583,1
675,130,Общая информация,2218,1
676,130,Основные,1534,1
677,130,Управление и индикация,3417,1
678,130,Варочная панель,5667,1
679,130,Габариты,7600,1
