id,GroupID,Name,Description,IsActive,SortOrder
331,60,Поворот вправо-влево,,1,603310
332,60,Крепление VESA,,1,603320
333,54,USB 3.1 Type-C,,1,543330
334,54,COM-порт (RS-232),,1,543340
335,55,Технология синхронизации кадров,,1,553350
336,45,Чипсет,,1,453360
337,59,Настенное крепление,,1,593370
338,37,Емкость SSD,,1,373380
339,49,Щелевая загрузка дисков,,1,493390
340,49,Форм-фактор накопителя,,1,493400
341,54,Thunderbolt,,1,543410
342,51,Радиус изгиба,,1,513420
343,48,Всего слотов памяти,,1,483430
344,54,USB 3.1 Type-A,,1,543440
345,54,Выход S/PDIF,,1,543450
346,55,Цветовой охват DCI-P3,,1,553460
347,47,Вес,,1,473470
348,48,Максимальный объём памяти,,1,483480
349,49,Емкость SSD,,1,493490
350,61,Звуковая карта,,1,613500
351,55,Цветовой охват sRGB,,1,553510
352,55,Цветовой охват Adobe RGB,,1,553520
353,57,Крепление для наушников,,1,573530
354,55,Время отклика,,1,553540
355,45,Материнская плата,,1,453550
356,49,Модель жесткого диска,,1,493560
357,53,Корпус,,1,533570
358,45,Охлаждение процессора,,1,453580
359,48,Модель оперативной памяти,,1,483590
360,62,Тип аккумулятора,,1,623600
361,62,Емкость аккумулятора,,1,623610
362,62,Время работы,,1,623620
363,49,Модель SSD,,1,493630
364,52,Модель видеокарты,,1,523640
365,63,Дата выхода на рынок,,1,633650
366,64,Интерфейс,,1,643660
367,64,Производитель графического процессора,,1,643670
368,64,Графический процессор,,1,643680
369,64,«Разогнанная» версия,,1,643690
370,65,Частота графического процессора,,1,653700
371,65,Turbo-частота графического процессора,,1,653710
372,65,Количество потоковых процессоров,,1,653720
373,65,Видеопамять,,1,653730
374,65,Тип видеопамяти,,1,653740
375,65,Частота памяти,,1,653750
376,65,Ширина шины памяти,,1,653760
377,65,Поддержка DirectX,,1,653770
378,65,Поддержка SLI/CrossFire,,1,653780
379,65,Разъёмы питания,,1,653790
380,65,Рекомендуемый блок питания,,1,653800
381,65,Охлаждение,,1,653810
382,65,Толщина системы охлаждения,,1,653820
383,65,Количество вентиляторов,,1,653830
384,65,Длина видеокарты,,1,653840
385,65,Высота видеокарты,,1,653850
386,65,Низкопрофильная (Low Profile),,1,653860
387,66,VGA (D-Sub),,1,663870
388,66,DVI,,1,663880
389,66,HDMI,,1,663890
390,66,mini HDMI,,1,663900
391,66,DisplayPort,,1,663910
392,66,mini Display Port,,1,663920
393,66,VESA Stereo,,1,663930
394,66,USB Type-C,,1,663940
395,67,Дата выхода на рынок,,1,673950
396,68,Модельный ряд,,1,683960
397,68,Тип поставки,,1,683970
398,68,Охлаждение в комплекте,,1,683980
399,68,Кодовое название кристалла,,1,683990
400,68,Сокет,,1,684000
401,68,Количество ядер,,1,684010
402,68,Максимальное количество потоков,,1,684020
403,68,Базовая тактовая частота,,1,684030
404,68,Максимальная частота,,1,684040
405,68,Кэш L2,,1,684050
406,68,Кэш L3,,1,684060
407,68,Поддержка памяти,,1,684070
408,68,Количество каналов памяти,,1,684080
409,68,Макс. частота памяти,,1,684090
410,68,Встроенный контроллер PCI Express,,1,684100
411,68,Встроенная графика,,1,684110
