id,GoodID,CatalogMarketID,Price,WriteDate
889666,22,288,3050.00,2021-06-24 13:59:14.000000
889667,19,183,6140.00,2021-08-26 09:37:09.000000
889669,19,175,6140.00,2021-08-26 09:37:09.000000
889670,19,328,6140.00,2021-08-26 09:37:09.000000
889674,19,383,6140.00,2021-08-26 00:09:03.000000
889683,19,792,9076.60,2021-09-08 16:49:03.000000
889684,19,157,6230.00,2021-08-14 01:43:05.000000
889690,19,9,6140.00,2021-09-13 23:26:02.000000
889713,19,180,8759.00,2021-07-23 15:42:04.000000
889715,50,80,2229.00,2021-06-24 13:59:14.000000
889716,50,82,2229.00,2021-06-24 13:59:14.000000
889718,52,80,2209.99,2021-06-24 13:59:14.000000
889719,52,82,2209.99,2021-06-24 13:59:14.000000
889722,53,43,629.00,2021-07-13 12:00:13.000000
889724,30,175,3304.00,2021-07-13 19:52:27.000000
889725,30,328,3304.00,2021-07-05 12:11:55.000000
889733,30,383,3304.00,2021-06-24 13:59:15.000000
889735,30,128,4199.00,2021-06-24 13:59:15.000000
889744,30,449,3928.48,2021-09-28 16:40:10.000000
889745,30,9,3587.04,2021-09-28 16:40:10.000000
889753,46,174,9450.00,2021-06-24 13:59:15.000000
889758,46,827,9830.25,2021-06-24 13:59:15.000000
889763,46,383,9450.00,2021-06-24 13:59:15.000000
889765,46,832,10099.00,2021-06-24 13:59:15.000000
889823,35,128,1399.00,2021-06-24 13:59:15.000000
889832,68,80,2458.00,2021-06-24 13:59:15.000000
889833,68,82,2458.00,2021-06-24 13:59:15.000000
889835,62,328,1045.00,2021-07-02 01:08:04.000000
889836,62,393,1045.00,2021-06-24 13:59:16.000000
889841,62,288,1045.00,2021-06-24 13:59:16.000000
889851,61,827,1978.90,2021-06-24 13:59:16.000000
889858,71,128,389.00,2021-09-28 16:40:07.000000
889861,71,43,389.00,2021-06-28 15:53:45.000000
889863,71,9,421.79,2021-09-28 16:40:08.000000
889887,71,356,389.00,2021-08-20 14:32:03.000000
889889,65,328,3175.00,2021-06-24 13:59:16.000000
889893,65,383,3175.00,2021-06-24 13:59:16.000000
889900,98,174,2650.00,2021-07-02 01:08:05.000000
889902,98,393,2650.00,2021-06-24 13:59:16.000000
889905,98,157,2650.00,2021-06-24 13:59:16.000000
889907,98,383,2540.00,2021-07-06 12:53:28.000000
889911,98,28,2540.00,2021-07-15 00:37:33.000000
889913,98,389,2650.00,2021-07-03 00:19:46.000000
889924,98,288,2540.00,2021-07-13 19:52:29.000000
889925,81,328,360.00,2021-08-13 22:42:02.000000
889926,81,393,400.00,2021-08-24 18:00:04.000000
889948,81,157,385.00,2021-08-13 22:42:03.000000
889949,81,28,368.84,2021-09-13 14:23:03.000000
889951,81,9,376.89,2021-09-13 20:25:03.000000
889956,109,827,1906.94,2021-06-24 13:59:17.000000
889982,100,157,1200.00,2021-09-07 16:41:04.000000
890001,108,183,1836.00,2021-06-24 13:59:17.000000
890002,108,328,1836.00,2021-06-24 13:59:17.000000
890003,108,393,1836.00,2021-06-24 13:59:17.000000
890004,108,175,1836.00,2021-06-24 13:59:17.000000
890006,108,9,2009.12,2021-07-12 16:53:42.000000
